datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature,hour,day_of_week,month,saison_automne,saison_printemps
2023-04-23 00:00:00+00:00,0.0,0.2,0.08289441695489308,0.4220378092653636,0.7309695536071454,0.10728523461744921,0.0957726782961571,0,6,4,0.0,1.0
2023-04-23 01:00:00+00:00,0.0,0.2,0.011008050855623841,0.2520689813299627,0.15660810516944634,0.07649312469228531,0.05790334034413547,1,6,4,0.0,1.0
2023-04-23 02:00:00+00:00,0.0,0.2,0.010650071235263736,0.20811929449678168,0.4340804741291593,0.1277485518303062,0.08869150200001308,2,6,4,0.0,1.0
2023-04-23 03:00:00+00:00,0.0,0.2,0.0,0.3393488537407042,1.0,0.13083963234508944,0.10771940854240236,3,6,4,0.0,1.0
2023-04-23 04:00:00+00:00,0.0,0.2,0.010710652358545625,0.055639057789129476,0.40097632750849277,0.10474621167830145,0.0895027611777569,4,6,4,0.0,1.0
2023-04-23 05:00:00+00:00,0.034096390017218495,0.39,0.011988236747977776,0.7472694757029164,0.9262453799132957,0.11451997806634218,0.0711553014871742,5,6,4,0.0,1.0
2023-04-23 06:00:00+00:00,0.21190434399111466,0.59,0.11981616754809599,0.19350780757249286,0.9682519241341874,0.32267845343648693,0.30612672533100915,6,6,4,0.0,1.0
2023-04-23 07:00:00+00:00,0.46931479101881673,0.7,0.29975536964993377,0.0,0.4315618258479872,0.5222063191318872,0.498496159010285,7,6,4,0.0,1.0
2023-04-23 08:00:00+00:00,0.6905176019194171,0.74,0.5364511937610257,0.16232983337969498,0.2905009421239302,0.7907966365898432,0.7803222312061651,8,6,4,0.0,1.0
2023-04-23 09:00:00+00:00,0.8645395264291943,0.76,0.7325990009332439,0.26961177989594676,0.7320979389319047,0.9514989828270118,0.973498850092432,9,6,4,0.0,1.0
2023-04-23 10:00:00+00:00,0.9739811879859168,0.77,0.825919597081701,0.2537699407277785,0.1765887628550633,0.9858973785114021,0.9975132722378532,10,6,4,0.0,1.0
2023-04-23 11:00:00+00:00,1.0,0.77,0.9176157551822783,0.49809163249386335,0.8556771925912634,1.0,1.0,11,6,4,0.0,1.0
2023-04-23 12:00:00+00:00,0.9402268614063809,0.76,0.9999999999999998,0.6430236280749793,0.6381919935090647,0.9443279711703666,0.9446203293559281,12,6,4,0.0,1.0
2023-04-23 13:00:00+00:00,0.8554187286905943,0.76,0.963674828849068,0.709128050421608,0.0,0.9215678356268532,0.9437031347553353,13,6,4,0.0,1.0
2023-04-23 14:00:00+00:00,0.680862858038578,0.74,0.9597742264110976,0.9801718829710546,0.656152055195089,0.7032172054070202,0.6859312532963562,14,6,4,0.0,1.0
2023-04-23 15:00:00+00:00,0.460491672947663,0.7,0.8413315897567795,0.8270408298701419,0.5392387888969914,0.5236794396006198,0.5128683196905419,15,6,4,0.0,1.0
2023-04-23 16:00:00+00:00,0.22718509949674703,0.62,0.70243897763192,1.0,0.6205981718218347,0.26149053024561175,0.22874359271641098,16,6,4,0.0,1.0
2023-04-23 17:00:00+00:00,0.04180387978515037,0.45,0.45721157833122184,0.8773612374625723,0.045269282149619006,0.08887835091852803,0.05936795808674289,17,6,4,0.0,1.0
2023-04-23 18:00:00+00:00,0.0,0.2,0.3326243215498035,0.8067857149326478,0.47586284142691815,0.05686613024043685,0.007721653700898612,18,6,4,0.0,1.0
2023-04-23 19:00:00+00:00,0.0,0.2,0.1728579741264371,0.8687361856426099,0.322279078419907,0.04371127019438359,0.0,19,6,4,0.0,1.0
2023-04-23 20:00:00+00:00,0.0,0.2,0.07315567193068362,0.7866879382519869,0.38195835316843807,0.0468592921374934,0.035776511066521466,20,6,4,0.0,1.0
2023-04-23 21:00:00+00:00,0.0,0.2,0.040558135548150576,0.790107921590445,0.259117614560727,0.0,0.0,21,6,4,0.0,1.0
2023-04-23 22:00:00+00:00,0.0,0.2,0.0081249556687224,0.6811615885227444,0.640839481469802,0.07970057320618718,0.07084093197366925,22,6,4,0.0,1.0

