datetime,temp,flow,irradiance,action,text
2024-01-14 23:00:00,0.11,0.444,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 00:00:00,0.11,0.3523,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 01:00:00,0.13,0.2292,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 02:00:00,0.17,0.0958,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 03:00:00,0.19,0.0038,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 04:00:00,0.17,-0.0043,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 05:00:00,0.16,0.0644,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 06:00:00,0.19,0.1527,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 07:00:00,0.33,0.1965,0.07,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 08:00:00,0.55,0.1772,0.25,1,Chauffer (résistance activée)
2024-01-15 09:00:00,0.82,0.1352,0.48,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 10:00:00,1.07,0.1345,0.73,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 11:00:00,1.24,0.2086,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 12:00:00,1.29,0.3368,0.93,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 13:00:00,1.24,0.4674,0.74,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 14:00:00,1.08,0.5626,0.5,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 15:00:00,0.83,0.6222,0.2,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 16:00:00,0.56,0.6691,0.02,1,Chauffer (résistance activée)
2024-01-15 17:00:00,0.3,0.7151,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 18:00:00,0.13,0.746,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 19:00:00,0.07,0.7379,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 20:00:00,0.07,0.6848,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 21:00:00,0.1,0.6068,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-15 22:00:00,0.11,0.5283,0.0,0,Ne pas chauffer (solaire ou inutilisé)
