changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,multiplicative,0.10669065620160709
0.01,10.0,multiplicative,0.10670145675245878
0.01,1.0,multiplicative,0.1067481620426885
0.1,5.0,multiplicative,0.10735241098857581
0.1,1.0,multiplicative,0.10741654058097899
0.1,10.0,multiplicative,0.10741924478769996
0.05,1.0,multiplicative,0.10756424552739871
0.05,10.0,multiplicative,0.10759327969789316
0.01,10.0,additive,0.10770182567045804
0.01,1.0,additive,0.1077399722003417
0.01,5.0,additive,0.10774245185966008
0.05,5.0,multiplicative,0.10775936065921865
0.05,1.0,additive,0.10851872268163788
0.05,5.0,additive,0.10856960527517943
0.05,10.0,additive,0.10857913525000214
0.1,5.0,additive,0.10871615619203576
0.1,10.0,additive,0.10872922682046299
0.1,1.0,additive,0.10885726162023411
