changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.1,5.0,additive,0.08511944625077524
0.1,10.0,additive,0.0851415031295106
0.1,1.0,additive,0.0852381730351006
0.05,10.0,additive,0.08535573413568476
0.05,5.0,additive,0.08535593384236569
0.05,10.0,multiplicative,0.08535975795896188
0.05,1.0,additive,0.08536872247020572
0.05,1.0,multiplicative,0.0853713147305549
0.05,5.0,multiplicative,0.08539141322450902
0.1,10.0,multiplicative,0.08549509039209043
0.1,1.0,multiplicative,0.08554321541596117
0.1,5.0,multiplicative,0.08556561118942982
0.01,1.0,multiplicative,0.08568652020129038
0.01,5.0,multiplicative,0.08569102244896136
0.01,10.0,multiplicative,0.08569321544259073
0.01,5.0,additive,0.086229736264407
0.01,1.0,additive,0.08625102412751487
0.01,10.0,additive,0.08626017481376183
